# Rime user dictionary
#@/db_name	ounei_copy
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	11579
#@/user_id	TAKUSEI-DESKTOP
b;[ah 	柄	c=1 d=1 t=8048
bz[bo 	背	c=3 d=0.151125 t=10403
bz[bo bj[ap 	背板	c=1 d=1 t=9654
bz[bo ci[cd 	背刺	c=2 d=1.61263 t=10241
bz[bo hb[pk 	背後	c=2 d=1.21654 t=6095
bz[bo j;[ow 	背景	c=3 d=1 t=11377
bz[bo j;[ow gu[gw ui[hk 	背景故事	c=2 d=1.96079 t=2619
bz[fx gr[yj 	悲觀	c=2 d=1.8311 t=10697
bz[rl ly[wu 	倍率	c=1 d=1 t=3962
bz[ub fh[dw 	北方	c=1 d=1 t=3247
bz[ub if[ie 	北辰	c=1 d=1 t=8880
bz[ub j;[wk 	北京	c=1 d=1 t=11378
bz[yp 	被	c=12 d=1.63629 t=2602
bz[yp da[fd 	被打	c=1 d=1 t=2049
bz[yp ig[hd wz[dl 	被稱爲	c=1 d=1 t=3200
bz[yp ii[kr 	被喫	c=1 d=1 t=932
bz[yp po[bz 	被迫	c=2 d=1.01485 t=2353
bz[yp wo[pf 	被我	c=3 d=1 t=8025
ca[fg zv[kv 	擦嘴	c=2 d=1.99501 t=11502
ce[db 	測	c=2 d=1 t=4934
ce[db ui[yq 	測試	c=11 d=1.04076 t=7261
ce[ib so[pj 	廁所	c=1 d=1 t=5115
ce[rb mm[ew 	側面	c=2 d=1 t=5815
ce[rb uf[pu 	側身	c=1 d=1 t=5353
ce[rb ve[ym 	側着	c=1 d=1 t=3910
ce[vc lt[tw 	策略	c=1 d=1 t=2292
cg[bo j;[ss 	曾經	c=5 d=1.02343 t=10617
cg[ue 	層	c=3 d=2.98506 t=199
cg[zb 	蹭	c=1 d=1 t=8762
ch[cr 	蒼	c=2 d=1 t=6792
ch[cr lj[cu 	蒼藍	c=1 d=0.110727 t=6108
ch[cr lj[cu x;[op 	蒼藍星	c=3 d=2.16939 t=6248
ch[cr yi[xt 	蒼翼	c=1 d=1 t=3809
ci[cd 	刺	c=1 d=1 t=2262
ci[ql 	辭	c=1 d=1 t=2776
ci[rv hb[ru 	伺候	c=2 d=1.99501 t=10664
ci[vb 	此	c=3 d=1.00002 t=6148
ci[vb wl[xb 	此外	c=1 d=1 t=5970
ci[vv xc[ub gv[be 	雌小鬼	c=1 d=1 t=6949
ci[yv 	詞	c=0 d=0.1 t=9431
ci[yv bc[fy 	詞表	c=2 d=1.8781 t=7221
ci[yv de[bb 	詞的	c=0 d=0.1 t=4066
ci[yv hv[dk 	詞彙	c=3 d=1.3492 t=3815
ci[yv ku[gi 	詞庫	c=2 d=1.99501 t=2390
ci[yv pn[vy 	詞頻	c=1 d=1 t=11455
ci[yv tc[wa 	詞條	c=3 d=1.97531 t=8907
cj[hj ku[yn 	殘酷	c=0 d=0.1 t=2779
cj[hj ku[yn xi[yg ju[ud 	殘酷戲劇	c=1 d=1 t=2780
cj[hj y;[op 	殘影	c=1 d=1 t=3886
cj[sd kk[tk 	參考	c=3 d=1.00003 t=6254
cj[sd uu[mw 	參數	c=3 d=1 t=8981
